Unnamed: 0,name,source,RT_Amide6min,IsomericSMILES,RT,Predicted_RT,是否可定制
82,83,biotree,180.0,C(CN)CS(=O)(=O)O,3.0,2.8089442,是
83,84,biotree,133.8,C1=C(NC(=O)NC1=O)C(=O)O,2.23,2.0375752,是
84,85,biotree,223.2,C(C(C(=O)O)NC(=O)N)C(=O)O,3.72,3.6031547,是
85,86,biotree,266.4,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO[C@]4([C@H]([C@@H]([C@H](O4)CO)O)O)CO[C@]5([C@H]([C@@H]([C@H](O5)CO)O)O)CO[C@]6([C@H]([C@@H]([C@H](O6)CO)O)O)CO[C@]7([C@H]([C@@H]([C@H](O7)CO)O)O)CO)O)O)O)O,4.44,5.095853,否
86,87,biotree,193.2,CN(CC(=O)O)C(=N)N,3.22,3.018518,是
87,88,biotree,128.4,C1=CC(=CN=C1)C(=O)O,2.14,2.1966257,是
88,89,biotree,166.8,C(CS(=O)(=O)O)N,2.78,2.648621,是
89,90,biotree,149.4,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,2.49,2.2639542,是
90,91,biotree,171.6,CN(C)CC(=O)O,2.86,3.0194876,是
91,92,biotree,178.2,CS(=O)CCC(C(=O)O)N,2.97,3.2612882,是
92,93,biotree,150.0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)OCCO)C5=CC(=C(C=C5)OCCO)OCCO)O)O)O)O)O)O,2.5,2.7725105,是
93,94,biotree,130.2,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3C=CC5=C6CC(CC[C@@]6([C@H](C[C@]54C)O)CO)(C)C)C)C)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O,2.17,2.2296658,是
94,95,biotree,165.0,C[C@H](CC[C@H](C(C)(C)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)[C@H]3CC[C@@]4([C@@]3(C[C@H]([C@@]5([C@H]4CC=C6[C@H]5CC[C@@H](C6(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)O)C)C,2.75,2.8073566,是
